processed_image,processed_label,raw_spacing,raw_shape,cropped_shape,cropped_coordinates
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0035.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0035.npy,"(0.9199219942092896, 0.9199219942092896, 5.0)","(94, 512, 512)","(58, 221, 351)","[36, 94, 161, 382, 75, 426]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0074.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0074.npy,"(0.78125, 0.78125, 5.0)","(86, 512, 512)","(57, 290, 406)","[29, 86, 158, 448, 50, 456]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0075.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0075.npy,"(0.9765620231628418, 0.9765620231628418, 5.0)","(93, 512, 512)","(60, 270, 365)","[33, 93, 166, 436, 60, 425]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0001.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0001.npy,"(0.66796875, 0.66796875, 3.0)","(147, 512, 512)","(96, 326, 452)","[51, 147, 88, 414, 28, 480]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0021.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0021.npy,"(0.68359375, 0.68359375, 3.0)","(143, 512, 512)","(78, 257, 389)","[65, 143, 124, 381, 64, 453]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0069.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0069.npy,"(0.7889999747276306, 0.7889999747276306, 5.0)","(97, 512, 512)","(60, 279, 410)","[37, 97, 141, 420, 51, 461]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0007.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0007.npy,"(0.748046875, 0.748046875, 3.0)","(163, 512, 512)","(105, 343, 435)","[58, 163, 73, 416, 39, 474]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0080.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0080.npy,"(0.781000018119812, 0.781000018119812, 5.0)","(95, 512, 512)","(61, 306, 442)","[34, 95, 117, 423, 29, 471]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0066.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0066.npy,"(0.837890625, 0.837890625, 3.0)","(171, 512, 512)","(104, 294, 417)","[67, 171, 134, 428, 36, 453]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0024.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0024.npy,"(0.685546875, 0.685546875, 3.0)","(124, 512, 512)","(72, 278, 415)","[52, 124, 107, 385, 69, 484]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0033.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0033.npy,"(0.8144530057907104, 0.8144530057907104, 5.0)","(104, 512, 512)","(70, 298, 422)","[34, 104, 131, 429, 49, 471]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0063.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0063.npy,"(0.7949219942092896, 0.7949219942092896, 5.0)","(95, 512, 512)","(65, 294, 409)","[30, 95, 155, 449, 51, 460]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0072.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0072.npy,"(0.71875, 0.71875, 3.0)","(152, 512, 512)","(95, 283, 423)","[57, 152, 101, 384, 43, 466]"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0036.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0036.npy,"(0.74609375, 0.74609375, 3.0)","(184, 512, 512)","(108, 323, 487)","[76, 184, 97, 420, 11, 498]"
